pref_name,facility_name,basis,care_setting,iryoken2_code,resolved_facility_name,note
三重県,三重大学,university_hospital,care,,国立大学法人　三重大学医学部附属病院,
三重県,施設掲載なし,unassignable,,,,名簿に施設の記載なし
三重県,鈴鹿医療科学大学,university_hospital,care,,鈴鹿医療科学大学附属桜の森病院,同大学の附属病院
京都府,京都大学,university_hospital,care,,京都大学医学部附属病院,
京都府,京都府立医科大学,university_hospital,care,,京都府立医科大学附属病院,
京都府,施設掲載なし,unassignable,,,,名簿に施設の記載なし
佐賀県,佐賀大学,university_hospital,care,,佐賀大学医学部附属病院,
佐賀県,施設掲載なし,unassignable,,,,名簿に施設の記載なし
兵庫県,兵庫医科大学,university_hospital,care,,兵庫医科大学病院,
兵庫県,施設掲載なし,unassignable,,,,名簿に施設の記載なし
兵庫県,神戸大学,university_hospital,care,,神戸大学医学部附属病院,
兵庫県,神戸常盤大学,non_care_workplace,non_care,,,診療を行う施設ではない勤務先
北海道,北海道大学,university_hospital,care,,北海道大学病院,
北海道,旭川医科大学,university_hospital,care,,旭川医科大学病院,
北海道,札幌医科大学,university_hospital,care,,札幌医科大学附属病院,
千葉県,千葉大学,university_hospital,care,,千葉大学医学部附属病院,
千葉県,和洋女子大学,non_care_workplace,non_care,,,診療を行う施設ではない勤務先
千葉県,国際医療福祉大学,university_hospital,care,,国際医療福祉大学成田病院,医学部の所在地は成田
千葉県,国際医療福祉大学市川総合病院,renamed,care,,国際医療福祉大学市川病院,市川総合病院→市川病院
千葉県,施設掲載なし,unassignable,,,,名簿に施設の記載なし
千葉県,東京女子医科大学八千代医療センター,university_hospital,care,,東京女子医科大学附属八千代医療センター,
和歌山県,和歌山県立医科大学,university_hospital,care,,和歌山県立医科大学附属病院,
埼玉県,埼玉医科大学,university_hospital,care,,埼玉医科大学病院,
埼玉県,施設掲載なし,unassignable,,,,名簿に施設の記載なし
埼玉県,防衛医科大学校,university_hospital,care,,防衛医科大学校病院,
大分県,大分大学,university_hospital,care,,大分大学医学部附属病院,
大分県,施設掲載なし,unassignable,,,,名簿に施設の記載なし
