area_code,neighbor_code
02,03
02,05
03,02
03,04
03,05
04,03
04,05
04,06
04,07
05,02
05,03
05,04
05,06
06,04
06,05
06,07
06,15
07,04
07,06
07,08
07,09
07,10
07,15
08,07
08,09
08,11
08,12
09,07
09,08
09,10
09,11
10,07
10,09
10,11
10,15
10,20
11,08
11,09
11,10
11,12
11,13
11,19
11,20
12,08
12,11
12,13
13,11
13,12
13,14
13,19
14,13
14,19
14,22
15,06
15,07
15,10
15,16
15,20
16,15
16,17
16,20
16,21
17,16
17,18
17,21
18,17
18,21
18,25
18,26
19,11
19,13
19,14
19,20
19,22
20,10
20,11
20,15
20,16
20,19
20,21
20,22
20,23
21,16
21,17
21,18
21,20
21,23
21,24
21,25
22,14
22,19
22,20
22,23
23,20
23,21
23,22
23,24
24,21
24,23
24,25
24,26
24,29
24,30
25,18
25,21
25,24
25,26
26,18
26,24
26,25
26,27
26,28
26,29
27,26
27,28
27,29
27,30
28,26
28,27
28,31
28,33
29,24
29,26
29,27
29,30
30,24
30,27
30,29
31,28
31,32
31,33
31,34
32,31
32,34
32,35
33,28
33,31
33,34
33,37
34,31
34,32
34,33
34,35
35,32
35,34
36,37
36,38
36,39
37,33
37,36
37,38
38,36
38,37
38,39
39,36
39,38
40,41
40,43
40,44
41,40
41,42
42,41
43,40
43,44
43,45
43,46
44,40
44,43
44,45
45,43
45,44
45,46
46,43
46,45
