area_code,area_name,pref_code,pref_name,sex,pop_0_4,pop_5_9,pop_10_14,pop_15_19,pop_20_24,pop_25_29,pop_30_34,pop_35_39,pop_40_44,pop_45_49,pop_50_54,pop_55_59,pop_60_64,pop_65_69,pop_70_74,pop_75_79,pop_80_84,pop_85_89,pop_90_94,pop_95_99,pop_100plus,pop_65plus,pop_age_unknown,pop_total_census
0101,南渡島,01,北海道,male,4938,6004,6924,7497,6492,6565,7128,8755,10488,12756,11255,10754,11169,13746,14382,9719,7183,4486,1661,332,28,51537,1731,163993
0101,南渡島,01,北海道,female,4815,5879,6559,6921,6298,6630,7436,9110,11216,13604,12664,12686,13170,16214,18104,14198,12005,9251,4996,1483,243,76494,1748,195230
0102,南檜山,01,北海道,male,225,344,332,429,345,376,423,456,614,722,682,696,742,941,926,658,579,396,114,33,1,3648,35,10069
0102,南檜山,01,北海道,female,223,294,345,362,299,267,340,433,546,660,626,719,790,1002,1121,967,867,690,367,122,19,5155,11,11070
0103,北渡島檜山,01,北海道,male,432,519,614,509,511,669,692,857,1085,1255,1054,1125,1220,1475,1378,951,791,579,255,62,9,5500,212,16254
0103,北渡島檜山,01,北海道,female,429,528,539,462,378,532,599,772,879,1012,950,1121,1167,1587,1641,1345,1201,1008,624,243,44,7693,90,17151
0104,札幌,01,北海道,male,40888,46207,48562,54483,59403,55687,61816,69562,79373,90128,78139,72475,69876,77811,78961,52062,36519,22889,9322,1753,185,279502,18256,1124357
0104,札幌,01,北海道,female,38855,44227,46434,53146,59751,60270,65306,74159,84833,96984,86753,82617,77356,88275,95180,69912,56368,44087,24063,7257,1221,386363,15321,1272375
0105,後志,01,北海道,male,2610,3177,3611,3917,3470,3592,3881,4685,5792,6950,6399,6320,6369,7848,8388,5875,4519,2968,1170,210,24,31002,1311,93086
0105,後志,01,北海道,female,2446,3033,3394,3535,3275,3229,3554,4516,5685,6894,6508,6681,6768,8961,10505,8435,7377,5644,3287,1061,149,45419,865,105802
0106,南空知,01,北海道,male,1846,2427,2715,3016,2710,2628,3024,3418,4380,5266,4650,5154,5447,6233,6491,4584,3719,2567,1022,194,19,24829,215,71725
0106,南空知,01,北海道,female,1900,2328,2649,3107,2317,2303,2792,3317,3984,5143,4851,5373,5592,6902,7708,6351,5876,4682,2475,775,151,34920,185,80761
0107,中空知,01,北海道,male,1259,1458,1751,2004,1656,1701,1895,2197,2747,3235,2970,3175,3226,3969,4301,3210,2648,1778,613,132,16,16667,730,46671
0107,中空知,01,北海道,female,1184,1438,1590,1732,1427,1543,1764,2131,2675,3298,3086,3396,3435,4697,5265,4447,4187,3011,1616,569,121,23913,501,53113
0108,北空知,01,北海道,male,363,424,480,616,530,466,510,625,807,853,852,991,1051,1163,1331,993,902,618,265,39,1,5312,59,13939
0108,北空知,01,北海道,female,342,453,437,528,418,384,441,599,757,884,993,937,1059,1352,1599,1457,1221,1054,572,209,37,7501,22,15755
0109,西胆振,01,北海道,male,2473,2946,3367,4179,4547,3689,3639,4186,5089,6409,5259,5017,5188,6747,7351,5629,4366,2660,935,174,31,27893,806,84687
0109,西胆振,01,北海道,female,2457,2832,3143,3320,2895,2978,3298,4094,5016,6136,5551,5520,5564,7473,9195,7726,6391,4546,2457,819,146,38753,362,91919
0110,東胆振,01,北海道,male,3527,4260,4378,4805,3932,4690,5226,5942,6862,8071,6358,6332,6349,7996,7691,5326,3849,2220,864,154,15,28115,2041,100888
0110,東胆振,01,北海道,female,3334,3798,4261,4278,3503,3990,4713,5531,6819,7475,6506,6351,6643,8428,9213,6696,5551,3947,2214,636,97,36782,876,104860
0111,日高,01,北海道,male,984,1214,1369,1197,1056,1388,1565,2007,2198,2356,2013,2184,2144,2581,2448,1696,1427,951,371,80,10,9564,72,31311
