pref_code,pref_name,population_2020,source,retrieved_on,pop_0_4,pop_5_9,pop_10_14,pop_15_19,pop_20_24,pop_25_29,pop_30_34,pop_35_39,pop_40_44,pop_45_49,pop_50_54,pop_55_59,pop_60_64,pop_65_69,pop_70_74,pop_75_79,pop_80_84,pop_85_89,pop_90_94,pop_95_99,pop_100plus,pop_65plus,pop_age_unknown,pop_total_census
01,北海道,5224614,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,162373,189483,203948,221229,220409,224130,247463,287154,336549,388162,345552,339699,335380,395875,419875,307446,247918,177368,87232,24417,3892,1664023,59060,5224614
02,青森県,1237984,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,37334,43520,48258,52090,43854,46128,53139,64849,75800,85326,81545,84210,89226,100699,101906,73871,62724,46710,21082,5237,714,412943,19762,1237984
03,岩手県,1210534,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,37344,45091,50012,52453,43292,46745,53515,64409,74894,82138,76370,79659,85341,96055,94027,71267,63395,48415,23862,6411,927,404359,14912,1210534
04,宮城県,2301996,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,79154,92066,97208,109137,112346,106679,120945,139891,156261,168990,146567,141164,144865,161459,157967,113819,93054,68330,33933,9089,1333,638984,47739,2301996
05,秋田県,959502,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,25271,31304,36098,36339,29192,31955,38607,48498,58249,62497,58055,64453,72842,83852,84106,60499,56433,44247,22148,5547,736,357568,8574,959502
06,山形県,1068027,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,34298,40703,45085,46872,39731,41004,48830,57811,66197,69537,64132,68753,75952,85619,83299,60975,54853,43740,23774,6418,876,359554,9568,1068027
07,福島県,1833152,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,60599,69700,75853,81180,69999,77439,87929,100339,113742,124300,113593,120442,131278,145331,136439,99105,83426,64493,33738,8984,1309,572825,33934,1833152
08,茨城県,2867009,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,96291,113607,123843,131147,126056,126797,142082,163540,186596,218014,190169,175479,178285,207763,217489,164977,119281,78424,39518,10849,1606,839907,55196,2867009
09,栃木県,1933146,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,66024,77301,84228,87604,81438,87377,98988,113591,129722,147820,127053,118693,123325,141154,145589,103165,75846,52977,27022,7571,1057,554381,35601,1933146
10,群馬県,1939110,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,64476,75492,84336,90433,84971,85309,92004,105492,125099,148569,129802,118508,116044,134811,149463,112391,82501,57888,30037,8285,1353,576729,41846,1939110
11,埼玉県,7344765,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,259281,291527,307576,326091,365852,363962,383452,432718,497191,599666,524655,446045,395556,446006,519102,417252,291131,168730,71082,18675,3016,1934994,216199,7344765
12,千葉県,6284480,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,221053,248798,264645,281545,316219,311470,329858,372869,423399,507856,447662,382032,342781,387685,452539,360862,254648,155155,68507,17752,2843,1699991,134302,6284480
13,東京都,14047594,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,521062,531824,513954,544076,798823,911945,917440,977812,1036974,1155011,1040280,871685,690147,678263,784219,630144,484955,333257,150971,39504,6509,3107822,428739,14047594
14,神奈川県,9237337,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,331247,368835,385681,411249,487436,478372,492072,558799,640821,769873,710551,593812,485933,509399,597514,484661,355718,227682,102141,27017,4446,2308578,214078,9237337
15,新潟県,2201272,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,71014,84737,91729,95565,85246,88454,102530,119188,140684,155676,140685,137900,144989,168337,175311,126620,107739,80491,42832,12549,2056,715935,26940,2201272
16,富山県,1034814,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,33851,38511,42815,45195,42235,43502,46629,53756,65466,80645,67192,62119,61313,70973,87909,64667,48126,36085,18863,5491,894,333008,18577,1034814
17,石川県,1132526,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,40920,46450,49726,54721,55044,50229,53930,60609,72852,87548,73067,67255,66128,73346,90196,64667,46432,34626,18202,5269,922,333660,20387,1132526
18,福井県,766863,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,28033,32208,35303,35201,31770,33774,37333,41727,48168,55506,47970,48332,48203,53020,58338,42934,33678,26165,13919,3992,638,232684,10651,766863
19,山梨県,809974,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,26992,30718,33919,38966,35654,33762,36423,41557,48494,58006,55685,53201,51885,56979,60154,46614,36102,26461,14382,4454,738,245884,18828,809974
20,長野県,2048011,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,69990,82204,90679,91524,76757,83074,91941,105941,129673,151088,135556,127368,125507,139244,155625,124017,96878,74011,42621,12609,1937,646942,39767,2048011
21,岐阜県,1978742,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,68460,82403,89657,94220,87552,82970,91668,105320,123910,148261,129691,123121,118502,133167,153050,116958,89549,61399,30160,8212,1256,593751,39256,1978742
22,静岡県,3633202,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,126776,149854,162093,162595,148873,161615,180883,205905,234807,277723,247272,229010,222575,247803,274672,215529,162880,111038,54554,15412,2394,1084282,38939,3633202
23,愛知県,7542415,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,299823,330860,342959,354902,390194,400116,419095,457369,508725,605189,522755,454530,389838,414679,492110,392361,284700,178569,78625,20437,3122,1864603,201457,7542415
24,三重県,1770254,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,61203,71759,78128,80821,76762,78396,85359,95620,110992,133919,117395,112233,105555,116426,132144,103499,79163,55436,27035,7280,1090,522073,40039,1770254
25,滋賀県,1413610,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,56791,65794,68784,71350,71038,65262,73629,83451,95820,109147,91772,84212,79100,86496,96270,71197,51431,35795,18294,4994,834,365311,32149,1413610
26,京都府,2578087,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,87673,99422,106370,122742,143678,117557,123208,138716,163121,196687,171244,152683,137580,154044,195786,150774,109824,75481,36401,10291,1892,734493,82913,2578087
27,大阪府,8837685,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,317414,345940,366145,400821,467195,457956,467024,501482,572362,711919,633679,538085,448981,499249,618732,511718,374409,230635,97857,25048,4075,2361723,246959,8837685
28,兵庫県,5465002,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,196475,225034,238696,249139,245645,234214,259573,297280,344704,421487,374245,338016,311560,343794,401579,314388,229724,158457,74751,20546,3304,1546543,182391,5465002
29,奈良県,1324473,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,44171,52647,57453,64063,61073,52802,58886,68162,80146,99480,89835,83444,79784,91941,107976,86203,61917,40576,19587,5517,859,414576,17951,1324473
30,和歌山県,922584,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,30472,36056,38832,39950,35094,36619,41696,47052,54339,67306,60797,60813,60038,66533,76291,60024,46020,33876,17231,4798,727,305500,8020,922584
31,鳥取県,553407,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,20594,23406,24330,24950,21436,21942,25747,30788,34776,37993,32124,33348,36898,41737,42834,30543,25460,20602,11668,3582,620,177046,8029,553407
32,島根県,671126,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,24396,28104,29141,29813,24179,26608,30254,35115,40509,44705,38319,39463,43691,50085,55306,39014,33545,28547,15600,4928,856,227881,8948,671126
33,岡山県,1888432,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,69216,78058,82078,88431,88060,83963,90593,101460,115167,136967,113152,105710,108891,119937,141395,109701,81421,62345,32270,9326,1596,557991,68695,1888432
34,広島県,2799702,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,105103,121639,125936,128376,127079,128946,140529,156431,179628,214946,181003,163281,159835,179410,210493,161842,116963,84035,43517,13372,2299,811931,55039,2799702
35,山口県,1342059,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,44446,52581,56581,58552,53248,51771,58162,68616,80443,95557,81573,77754,84316,100105,116908,88192,68303,51618,25740,7787,1304,459957,18502,1342059
36,徳島県,719559,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,22651,26431,28047,29342,26878,26312,31085,37203,42697,48856,42543,43262,47479,55523,60151,41978,34454,27334,14354,3973,579,238346,28427,719559
37,香川県,950244,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,33402,38999,41356,42535,36475,39147,44731,51628,61339,70820,58415,54914,58052,65556,78076,54466,42435,32904,17334,4888,874,296533,21898,950244
38,愛媛県,1334841,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,43918,52904,56942,56405,48334,51731,59466,69877,81256,95072,81435,81987,86175,98259,109484,79503,63726,48480,26087,7489,1251,434279,35060,1334841
39,高知県,691527,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,21909,25433,27604,29399,25018,24879,28514,35188,41790,48761,40994,42566,45091,51904,60090,44447,35104,28662,15893,4860,827,241787,12594,691527
40,福岡県,5135214,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,204888,227369,229922,236939,251264,243524,264980,305695,337699,368781,315729,291110,295632,336618,358807,259008,201229,143980,71329,20684,3487,1395142,166540,5135214
41,佐賀県,811442,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,32102,36891,39248,39156,33443,33518,38254,45369,50188,52888,47794,49211,53758,61607,59209,42263,35660,27539,14736,4336,711,246061,13561,811442
42,長崎県,1312317,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,49118,56292,58893,57928,47667,50428,59347,69179,77086,86994,80890,84157,92401,105939,104328,73804,64209,48498,24853,7553,1169,430353,11584,1312317
43,熊本県,1738301,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,69041,78543,80782,79371,69827,71763,83016,97054,106373,112345,101844,106541,116064,129764,128314,92608,80999,63319,33610,10215,1709,540538,25199,1738301
44,大分県,1123852,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,39991,46097,49184,48706,42772,44004,50903,59886,69544,75712,65569,65956,73475,84717,91083,67123,54388,42173,22238,6473,997,369192,22861,1123852
45,宮崎県,1069576,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,41185,48053,50535,47347,37831,40751,48204,58119,65901,69907,61273,65291,73631,83262,83797,59135,50866,39905,20653,5885,1040,344543,17005,1069576
46,鹿児島県,1588256,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,60923,71028,73430,69177,54238,58780,71089,85950,93195,97009,90651,98561,113544,126472,117065,83745,75138,59900,32155,9748,1668,505891,44790,1588256
47,沖縄県,1467480,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,77334,83417,82495,77793,70129,74283,83589,93102,97729,105634,91717,87414,89764,94371,74778,50952,48373,33465,16618,4970,1181,324708,28372,1467480
