pref_code,pref_name,sex,pop_0_4,pop_5_9,pop_10_14,pop_15_19,pop_20_24,pop_25_29,pop_30_34,pop_35_39,pop_40_44,pop_45_49,pop_50_54,pop_55_59,pop_60_64,pop_65_69,pop_70_74,pop_75_79,pop_80_84,pop_85_89,pop_90_94,pop_95_99,pop_100plus,pop_65plus,pop_age_unknown,pop_total_census
01,北海道,male,83004,96778,104728,113445,112616,112587,124006,142111,166377,191426,166292,162041,160590,185727,189689,129839,98184,63021,24544,4677,516,696197,32890,2465088
01,北海道,female,79369,92705,99220,107784,107793,111543,123457,145043,170172,196736,179260,177658,174790,210148,230186,177607,149734,114347,62688,19740,3376,967826,26170,2759526
02,青森県,male,18980,22328,24590,26958,23002,23886,27000,32576,38178,42462,39797,40683,42345,47562,46936,30776,23523,14816,5093,840,85,169631,10986,583402
02,青森県,female,18354,21192,23668,25132,20852,22242,26139,32273,37622,42864,41748,43527,46881,53137,54970,43095,39201,31894,15989,4397,629,243312,8776,654582
03,岩手県,male,19059,23018,25686,27012,22689,24143,27432,32736,38299,42221,38285,39934,42286,47015,44766,30592,24708,16248,6323,1116,111,170879,9273,582952
03,岩手県,female,18285,22073,24326,25441,20603,22602,26083,31673,36595,39917,38085,39725,43055,49040,49261,40675,38687,32167,17539,5295,816,233480,5639,627582
04,宮城県,male,40636,47279,49724,56147,58085,53942,61185,70073,79004,85542,74044,70243,71245,78502,75682,51637,37800,23940,9369,1791,197,278918,26531,1122598
04,宮城県,female,38518,44787,47484,52990,54261,52737,59760,69818,77257,83448,72523,70921,73620,82957,82285,62182,55254,44390,24564,7298,1136,360066,21208,1179398
05,秋田県,male,12881,15966,18580,18712,15432,16644,19668,24780,29906,31477,28686,31301,35316,40308,39605,25622,21413,14488,5495,957,100,147988,5102,452439
05,秋田県,female,12390,15338,17518,17627,13760,15311,18939,23718,28343,31020,29369,33152,37526,43544,44501,34877,35020,29759,16653,4590,636,209580,3472,507063
06,山形県,male,17653,20746,23192,24160,21106,21369,25006,29524,34036,35068,31932,34049,37442,42192,41078,27523,22070,15004,6234,1173,114,155388,5767,516438
06,山形県,female,16645,19957,21893,22712,18625,19635,23824,28287,32161,34469,32200,34704,38510,43427,42221,33452,32783,28736,17540,5245,762,204166,3801,551589
07,福島県,male,30690,35789,38889,42169,37448,41082,45940,52093,59183,64456,57946,61032,65995,72211,67159,44886,33421,21814,9023,1721,179,250414,20738,903864
07,福島県,female,29909,33911,36964,39011,32551,36357,41989,48246,54559,59844,55647,59410,65283,73120,69280,54219,50005,42679,24715,7263,1130,322411,13196,929288
08,茨城県,male,49240,58292,63604,67778,67287,68838,75539,85129,97008,113423,98227,88692,88986,102027,104904,77840,52637,28636,10995,2049,214,379302,29631,1430976
08,茨城県,female,47051,55315,60239,63369,58769,57959,66543,78411,89588,104591,91942,86787,89299,105736,112585,87137,66644,49788,28523,8800,1392,460605,25565,1436033
09,栃木県,male,34166,39679,43386,44828,42818,47561,52481,59528,67484,77078,64978,60339,61755,69780,70963,47883,32241,18882,7302,1458,125,248634,20215,964930
09,栃木県,female,31858,37622,40842,42776,38620,39816,46507,54063,62238,70742,62075,58354,61570,71374,74626,55282,43605,34095,19720,6113,932,305747,15386,968216
10,群馬県,male,33026,38478,43363,46559,44577,45558,48586,54687,64542,76223,66162,59727,58083,66080,71974,51843,34999,20874,8569,1648,173,256160,23680,959411
10,群馬県,female,31450,37014,40973,43874,40394,39751,43418,50805,60557,72346,63640,58781,57961,68731,77489,60548,47502,37014,21468,6637,1180,320569,18166,979699
11,埼玉県,male,132269,149221,157681,167107,186022,185425,197618,222544,257372,310464,270044,228466,199198,218369,245122,191865,128728,64382,20492,3416,406,872780,115958,3652169
11,埼玉県,female,127012,142306,149895,158984,179830,178537,185834,210174,239819,289202,254611,217579,196358,227637,273980,225387,162403,104348,50590,15259,2610,1062214,100241,3692596
12,千葉県,male,112943,127871,135805,144597,162510,159981,170320,191804,217679,261384,230039,195269,171804,188296,214087,165601,112170,59032,19850,3400,357,762793,73188,3117987
12,千葉県,female,108110,120927,128840,136948,153709,151489,159538,181065,205720,246472,217623,186763,170977,199389,238452,195261,142478,96123,48657,14352,2486,937198,61114,3166493
13,東京都,male,266375,271910,263549,276129,396919,455638,462045,497623,526550,581577,530006,447995,349242,334802,370863,275795,194920,118078,42551,8020,842,1345871,226959,6898388
13,東京都,female,254687,259914,250405,267947,401904,456307,455395,480189,510424,573434,510274,423690,340905,343461,413356,354349,290035,215179,108420,31484,5667,1761951,201780,7149206
14,神奈川県,male,169705,189180,197694,210659,249915,247150,254070,286852,328200,392518,366880,307555,246662,250337,282327,218763,153363,84852,29999,5420,602,1025663,115565,4588268
14,神奈川県,female,161542,179655,187987,200590,237521,231222,238002,271947,312621,377355,343671,286257,239271,259062,315187,265898,202355,142830,72142,21597,3844,1282915,98513,4649069
15,新潟県,male,36373,43385,47144,49245,44518,45755,52760,60880,71947,79065,71243,68967,72372,82377,84695,57041,44040,27607,11393,2200,250,309603,15413,1068670
15,新潟県,female,34641,41352,44585,46320,40728,42699,49770,58308,68737,76611,69442,68933,72617,85960,90616,69579,63699,52884,31439,10349,1806,406332,11527,1132602
16,富山県,male,17444,19876,21975,23526,22434,23188,24436,27771,33804,41154,33794,30669,29967,33950,41514,28861,19327,11985,4937,972,117,141663,10936,502637
16,富山県,female,16407,18635,20840,21669,19801,20314,22193,25985,31662,39491,33398,31450,31346,37023,46395,35806,28799,24100,13926,4519,777,191345,7641,532177
17,石川県,male,21077,23815,25212,28616,29551,25871,27546,30593,36973,44308,36270,32838,32002,35181,42582,29027,18764,11576,4724,948,113,142915,12184,549771
17,石川県,female,19843,22635,24514,26105,25493,24358,26384,30016,35879,43240,36797,34417,34126,38165,47614,35640,27668,23050,13478,4321,809,190745,8203,582755
18,福井県,male,14365,16595,18141,18327,16773,17804,19172,21205,24645,28242,23892,24029,23665,25802,28083,19344,13708,9148,3870,724,89,100768,6350,373973
18,福井県,female,13668,15613,17162,16874,14997,15970,18161,20522,23523,27264,24078,24303,24538,27218,30255,23590,19970,17017,10049,3268,549,131916,4301,392890
19,山梨県,male,13761,15636,17383,20307,18654,17831,18937,21269,24613,29602,28141,26686,25687,28078,28879,21223,15151,9535,4179,910,94,108049,10753,397309
19,山梨県,female,13231,15082,16536,18659,17000,15931,17486,20288,23881,28404,27544,26515,26198,28901,31275,25391,20951,16926,10203,3544,644,137835,8075,412665
20,長野県,male,35885,42058,46401,47199,40027,43603,47342,53976,65890,77102,68527,63658,62016,68256,74874,56993,41206,27606,12576,2678,234,284423,22282,1000389
20,長野県,female,34105,40146,44278,44325,36730,39471,44599,51965,63783,73986,67029,63710,63491,70988,80751,67024,55672,46405,30045,9931,1703,362519,17485,1047622
21,岐阜県,male,35043,42269,45854,47985,44205,42631,47115,53301,63022,74849,64444,60061,57258,63709,73040,53162,37878,22385,8648,1581,155,260558,21841,960436
21,岐阜県,female,33417,40134,43803,46235,43347,40339,44553,52019,60888,73412,65247,63060,61244,69458,80010,63796,51671,39014,21512,6631,1101,333193,17415,1018306
22,静岡県,male,65181,76849,82948,84284,77444,86086,94547,106282,120808,142540,126291,115721,110980,121478,131362,98296,69427,40025,15474,2977,282,479321,21836,1791118
22,静岡県,female,61595,73005,79145,78311,71429,75529,86336,99623,113999,135183,120981,113289,111595,126325,143310,117233,93453,71013,39080,12435,2112,604961,17103,1842084
23,愛知県,male,153686,169781,175738,182741,201706,210960,220088,237781,262584,311300,269112,231687,195405,201403,233262,180136,123275,65757,22671,3961,346,830811,108122,3761502
23,愛知県,female,146137,161079,167221,172161,188488,189156,199007,219588,246141,293889,253643,222843,194433,213276,258848,212225,161425,112812,55954,16476,2776,1033792,93335,3780913
24,三重県,male,31410,36732,39877,41305,39398,41594,44344,49099,56614,68098,58912,55409,51351,55851,62556,46968,33430,20084,7924,1312,125,228250,22082,864475
24,三重県,female,29793,35027,38251,39516,37364,36802,41015,46521,54378,65821,58483,56824,54204,60575,69588,56531,45733,35352,19111,5968,965,293823,17957,905779
25,滋賀県,male,29164,33807,35401,36960,37834,34415,38018,42299,47910,55207,45796,41611,38569,42169,46062,33105,22238,13109,5296,872,111,162962,17476,697429
25,滋賀県,female,27627,31987,33383,34390,33204,30847,35611,41152,47910,53940,45976,42601,40531,44327,50208,38092,29193,22686,12998,4122,723,202349,14673,716181
26,京都府,male,44921,50989,54601,62816,72975,58228,61072,67929,80204,96445,83620,73770,66427,72290,89958,66770,45894,27239,10165,1818,217,314351,43120,1231468
26,京都府,female,42752,48433,51769,59926,70703,59329,62136,70787,82917,100242,87624,78913,71153,81754,105828,84004,63930,48242,26236,8473,1675,420142,39793,1346619
