pref_name,facility_name,n_specialists
北海道,JR札幌病院,1
北海道,NTT東日本札幌病院,1
北海道,なかた小児科,1
北海道,のえる小児科,1
北海道,むぎのこ発達クリニック 札幌心の診療所,1
北海道,一般社団法人Sapporo Medical Academy,1
北海道,伊達赤十字病院,1
北海道,八軒内科ファミリークリニック,1
北海道,勤医協中央病院,2
北海道,北海道がんセンター,1
北海道,北海道大学,2
北海道,北海道立子ども総合医療・療育センター,1
北海道,医療法人すがわら内科呼吸器科,1
北海道,医療法人社団 丘のうえこどもクリニック,1
北海道,医療法人社団 平成醫塾苫小牧東病院,1
北海道,医療法人社団こうの内科 円山エルムクリニック,1
北海道,医療法人社団大空会 大道内科・呼吸器科クリニック,1
北海道,名寄市立総合病院,2
北海道,名寄東病院,1
北海道,市立函館保健所,1
北海道,市立札幌病院,2
北海道,帯広厚生病院,1
北海道,愛育病院,1
北海道,慈啓会病院,1
北海道,手稲いなづみ病院,1
北海道,新さっぽろ小児科,1
北海道,旭川医科大学,1
北海道,旭川赤十字病院,1
北海道,札幌医科大学,6
北海道,札幌平岡病院,1
北海道,札幌徳洲会病院,2
北海道,東雁来すこやかクリニック,1
北海道,済生会西小樽病院みどりの里,1
北海道,滝川市立病院,1
北海道,独立行政法人国立病院機構 旭川医療センター,1
北海道,独立行政法人地域医療機能推進機構 北海道病院,1
北海道,社会福祉法人函館厚生院 函館五稜郭病院,1
北海道,美幌町立国民健康保険病院,1
北海道,道東勤医協ねむろ医院,1
北海道,重症心身障害児(者)施設 北海道療育園,1
青森県,平井内科医院,1
青森県,弘前大学,3
青森県,弘前市立病院,1
青森県,青森県立中央病院,1
青森県,青森県立保健大学,1
青森県,駅前クリニック,1
岩手県,岩手医科大学,3
岩手県,盛岡つなぎ温泉病院,1
宮城県,IMS Me-Lifeクリニック仙台,1
宮城県,おのだクリニック,1
宮城県,かくだ耳鼻咽喉科クリニック,1
宮城県,やまと在宅診療所あゆみ仙台,1
宮城県,仙台エコー医療養育センター,1
宮城県,仙台厚生病院,1
宮城県,仙台市立病院,1
宮城県,公益財団法人宮城県結核予防会,1
宮城県,坂総合病院,4
宮城県,東北医科薬科大学病院,4
宮城県,東北大学,10
宮城県,栗原市立栗原中央病院,2
宮城県,泉整形外科病院,1
宮城県,独立行政法人国立病院機構 仙台医療センター,3
宮城県,石巻市立病院,1
宮城県,若林保健福祉センター,1
宮城県,金上病院,1
秋田県,あきた内科・呼吸器内科クリニック,1
秋田県,医療法人光智会 西大館病院,1
秋田県,大館市立総合病院,1
秋田県,市立秋田総合病院,1
秋田県,杉山病院,1
秋田県,白根病院,1
秋田県,秋田厚生医療センター,1
秋田県,秋田大学,4
秋田県,秋田赤十字病院,1
秋田県,羽後長野駅前内科,1
秋田県,藤原記念病院,1
山形県,医療法人アイリス,1
山形県,山形大学,1
山形県,山形市立病院 済生館,1
山形県,山形県立中央病院,3
山形県,済生会山形済生病院,1
福島県,いわき市医療センター,1
福島県,会津西病院,1
福島県,医療法人 長沼クリニック,1
福島県,医療法人社団三愛会 池田記念病院,1
福島県,医療法人英徳会 さかい小児科クリニック,1
福島県,坪井病院,1
福島県,大原綜合病院,1
福島県,太田西ノ内病院,1
福島県,星総合病院,1
福島県,福島県立医科大学,6
福島県,福島県総合療育センター,1
福島県,都小児科医院,1
茨城県,医療法人三真会 原田医院,1
茨城県,日立総合病院,1
茨城県,牛久愛和総合病院,1
茨城県,筑波メディカルセンター病院,2
茨城県,筑波大学,4
栃木県,さつきホームクリニック,1
栃木県,佐野厚生総合病院,1
栃木県,国際医療福祉大学病院,1
栃木県,坂本内科クリニック,1
栃木県,新小山市民病院,1
栃木県,杏林会 今井病院,1
栃木県,栃木県済生会宇都宮病院,1
栃木県,独立行政法人国立病院機構 栃木医療センター,2
栃木県,獨協医科大学,2
栃木県,自治医科大学,5
