iryoken2_code,iryoken2_name,pref_name,n_specialists
0101,南渡島,北海道,2
0102,南檜山,北海道,0
0103,北渡島檜山,北海道,0
0104,札幌,北海道,28
0105,後志,北海道,0
0106,南空知,北海道,0
0107,中空知,北海道,1
0108,北空知,北海道,0
0109,西胆振,北海道,1
0110,東胆振,北海道,2
0111,日高,北海道,0
0112,上川中部,北海道,5
0113,上川北部,北海道,3
0114,富良野,北海道,0
0115,留萌,北海道,0
0116,宗谷,北海道,0
0117,北網,北海道,1
0118,遠紋,北海道,0
0119,十勝,北海道,1
0120,釧路,北海道,0
0121,根室,北海道,1
0201,津軽地域,青森県,4
0202,八戸地域,青森県,0
0203,青森地域,青森県,2
0204,西北五地域,青森県,1
0205,上十三地域,青森県,0
0206,下北地域,青森県,0
0301,盛岡,岩手県,4
0302,岩手中部,岩手県,0
0303,胆江,岩手県,0
0304,両磐,岩手県,0
0305,気仙,岩手県,0
0306,釜石,岩手県,0
0307,宮古,岩手県,0
0308,久慈,岩手県,0
0309,二戸,岩手県,0
0401,仙南,宮城県,2
0403,仙台,宮城県,26
0406,大崎・栗原,宮城県,3
0409,石巻・登米・気仙沼,宮城県,1
0501,大館・鹿角,秋田県,2
0502,北秋田,秋田県,0
0503,能代・山本,秋田県,0
0504,秋田周辺,秋田県,9
0505,由利本荘・にかほ,秋田県,0
0506,大仙・仙北,秋田県,1
0507,横手,秋田県,0
0508,湯沢・雄勝,秋田県,0
0601,村山,山形県,6
0602,最上,山形県,0
0603,置賜,山形県,0
0604,庄内,山形県,0
0701,県北,福島県,8
0702,県中,福島県,6
0703,県南,福島県,0
0706,相双,福島県,0
0707,いわき,福島県,1
0708,会津・南会津,福島県,1
0801,水戸,茨城県,0
0802,日立,茨城県,1
0803,常陸太田・ひたちなか,茨城県,0
0804,鹿行,茨城県,0
0805,土浦,茨城県,0
0806,つくば,茨城県,6
0807,取手・竜ヶ崎,茨城県,1
0808,筑西・下妻,茨城県,0
0809,古河・坂東,茨城県,0
0901,県北,栃木県,2
0902,県西,栃木県,0
0903,宇都宮,栃木県,4
0904,県東,栃木県,2
0905,県南,栃木県,8
0906,両毛,栃木県,1
1001,前橋,群馬県,7
1002,渋川,群馬県,1
1003,伊勢崎,群馬県,0
1004,高崎・安中,群馬県,0
1005,藤岡,群馬県,0
1006,富岡,群馬県,0
1007,吾妻,群馬県,0
1008,沼田,群馬県,0
1009,桐生,群馬県,1
1010,太田・館林,群馬県,1
1101,南部,埼玉県,3
1102,南西部,埼玉県,3
1103,東部,埼玉県,6
1104,さいたま,埼玉県,17
1105,県央,埼玉県,4
1106,川越比企,埼玉県,18
1107,西部,埼玉県,11
1108,利根,埼玉県,3
1109,北部,埼玉県,2
1110,秩父,埼玉県,0
1201,千葉,千葉県,23
1202,東葛南部,千葉県,10
1203,東葛北部,千葉県,14
1204,印旛,千葉県,13
1205,香取海匝,千葉県,1
1206,山武長生夷隅,千葉県,2
1207,安房,千葉県,10
1208,君津,千葉県,1
1209,市原,千葉県,2
1301,区中央部,東京都,92
1302,区南部,東京都,25
1303,区西南部,東京都,25
