pref_code,pref_name,n_certified,source,retrieved_on,roster_date
01,北海道,51,https://www.kansensho.or.jp/uploads/files/senmoni/meibo_260701.pdf,2026-08-18,2026-07-01
02,青森県,7,https://www.kansensho.or.jp/uploads/files/senmoni/meibo_260701.pdf,2026-08-18,2026-07-01
03,岩手県,5,https://www.kansensho.or.jp/uploads/files/senmoni/meibo_260701.pdf,2026-08-18,2026-07-01
04,宮城県,36,https://www.kansensho.or.jp/uploads/files/senmoni/meibo_260701.pdf,2026-08-18,2026-07-01
05,秋田県,14,https://www.kansensho.or.jp/uploads/files/senmoni/meibo_260701.pdf,2026-08-18,2026-07-01
06,山形県,7,https://www.kansensho.or.jp/uploads/files/senmoni/meibo_260701.pdf,2026-08-18,2026-07-01
07,福島県,17,https://www.kansensho.or.jp/uploads/files/senmoni/meibo_260701.pdf,2026-08-18,2026-07-01
08,茨城県,10,https://www.kansensho.or.jp/uploads/files/senmoni/meibo_260701.pdf,2026-08-18,2026-07-01
09,栃木県,18,https://www.kansensho.or.jp/uploads/files/senmoni/meibo_260701.pdf,2026-08-18,2026-07-01
10,群馬県,12,https://www.kansensho.or.jp/uploads/files/senmoni/meibo_260701.pdf,2026-08-18,2026-07-01
11,埼玉県,80,https://www.kansensho.or.jp/uploads/files/senmoni/meibo_260701.pdf,2026-08-18,2026-07-01
12,千葉県,82,https://www.kansensho.or.jp/uploads/files/senmoni/meibo_260701.pdf,2026-08-18,2026-07-01
13,東京都,380,https://www.kansensho.or.jp/uploads/files/senmoni/meibo_260701.pdf,2026-08-18,2026-07-01
14,神奈川県,111,https://www.kansensho.or.jp/uploads/files/senmoni/meibo_260701.pdf,2026-08-18,2026-07-01
15,新潟県,29,https://www.kansensho.or.jp/uploads/files/senmoni/meibo_260701.pdf,2026-08-18,2026-07-01
16,富山県,15,https://www.kansensho.or.jp/uploads/files/senmoni/meibo_260701.pdf,2026-08-18,2026-07-01
17,石川県,14,https://www.kansensho.or.jp/uploads/files/senmoni/meibo_260701.pdf,2026-08-18,2026-07-01
18,福井県,12,https://www.kansensho.or.jp/uploads/files/senmoni/meibo_260701.pdf,2026-08-18,2026-07-01
19,山梨県,2,https://www.kansensho.or.jp/uploads/files/senmoni/meibo_260701.pdf,2026-08-18,2026-07-01
20,長野県,33,https://www.kansensho.or.jp/uploads/files/senmoni/meibo_260701.pdf,2026-08-18,2026-07-01
21,岐阜県,25,https://www.kansensho.or.jp/uploads/files/senmoni/meibo_260701.pdf,2026-08-18,2026-07-01
22,静岡県,39,https://www.kansensho.or.jp/uploads/files/senmoni/meibo_260701.pdf,2026-08-18,2026-07-01
23,愛知県,100,https://www.kansensho.or.jp/uploads/files/senmoni/meibo_260701.pdf,2026-08-18,2026-07-01
24,三重県,27,https://www.kansensho.or.jp/uploads/files/senmoni/meibo_260701.pdf,2026-08-18,2026-07-01
25,滋賀県,10,https://www.kansensho.or.jp/uploads/files/senmoni/meibo_260701.pdf,2026-08-18,2026-07-01
26,京都府,53,https://www.kansensho.or.jp/uploads/files/senmoni/meibo_260701.pdf,2026-08-18,2026-07-01
27,大阪府,93,https://www.kansensho.or.jp/uploads/files/senmoni/meibo_260701.pdf,2026-08-18,2026-07-01
28,兵庫県,60,https://www.kansensho.or.jp/uploads/files/senmoni/meibo_260701.pdf,2026-08-18,2026-07-01
29,奈良県,31,https://www.kansensho.or.jp/uploads/files/senmoni/meibo_260701.pdf,2026-08-18,2026-07-01
30,和歌山県,14,https://www.kansensho.or.jp/uploads/files/senmoni/meibo_260701.pdf,2026-08-18,2026-07-01
31,鳥取県,7,https://www.kansensho.or.jp/uploads/files/senmoni/meibo_260701.pdf,2026-08-18,2026-07-01
32,島根県,9,https://www.kansensho.or.jp/uploads/files/senmoni/meibo_260701.pdf,2026-08-18,2026-07-01
33,岡山県,34,https://www.kansensho.or.jp/uploads/files/senmoni/meibo_260701.pdf,2026-08-18,2026-07-01
34,広島県,29,https://www.kansensho.or.jp/uploads/files/senmoni/meibo_260701.pdf,2026-08-18,2026-07-01
35,山口県,12,https://www.kansensho.or.jp/uploads/files/senmoni/meibo_260701.pdf,2026-08-18,2026-07-01
