pref_code,pref_name,n_certified_page1,n_roster_body,diff,note
01,北海道,51,50,1,
02,青森県,7,8,-1,body_exceeds_page1
03,岩手県,5,4,1,
04,宮城県,36,35,1,
05,秋田県,14,14,0,
06,山形県,7,7,0,
07,福島県,17,17,0,
08,茨城県,10,9,1,
09,栃木県,18,19,-1,body_exceeds_page1
10,群馬県,12,12,0,
11,埼玉県,80,76,4,
12,千葉県,82,83,-1,body_exceeds_page1
13,東京都,380,376,4,
14,神奈川県,111,115,-4,body_exceeds_page1
15,新潟県,29,30,-1,body_exceeds_page1
16,富山県,15,14,1,
17,石川県,14,15,-1,body_exceeds_page1
18,福井県,12,11,1,
19,山梨県,2,2,0,
20,長野県,33,33,0,
21,岐阜県,25,25,0,
22,静岡県,39,39,0,
23,愛知県,100,100,0,
24,三重県,27,27,0,
25,滋賀県,10,10,0,
26,京都府,53,54,-1,body_exceeds_page1
27,大阪府,93,92,1,
28,兵庫県,60,61,-1,body_exceeds_page1
29,奈良県,31,31,0,
30,和歌山県,14,14,0,
31,鳥取県,7,7,0,
32,島根県,9,9,0,
33,岡山県,34,34,0,
34,広島県,29,29,0,
35,山口県,12,13,-1,body_exceeds_page1
36,徳島県,14,14,0,
37,香川県,14,13,1,
38,愛媛県,25,25,0,
39,高知県,11,11,0,
40,福岡県,141,139,2,
41,佐賀県,16,16,0,
42,長崎県,76,76,0,
43,熊本県,25,25,0,
44,大分県,20,19,1,
45,宮崎県,22,22,0,
46,鹿児島県,20,20,0,
47,沖縄県,27,26,1,
99,海外,14,13,1,
