area_id,row,col,population,expected_cases,observed_cases,rate_per_100k,sir,truth_label
1,0,0,18487,14.790,8,43.27,0.541,background
2,0,1,49847,39.878,30,60.18,0.752,background
3,0,2,24764,19.811,19,76.72,0.959,background
4,0,3,113344,90.675,52,45.88,0.573,background
5,0,4,21219,16.975,8,37.70,0.471,background
6,0,5,42237,33.790,12,28.41,0.355,background
7,0,6,104726,83.781,58,55.38,0.692,background
8,0,7,14567,11.654,7,48.05,0.601,background
9,0,8,74780,59.824,31,41.45,0.518,background
10,0,9,15942,12.754,7,43.91,0.549,background
11,0,10,20805,16.644,7,33.65,0.421,background
12,0,11,7484,5.987,4,53.45,0.668,background
13,0,12,48385,38.708,40,82.67,1.033,background
14,0,13,40085,32.068,29,72.35,0.904,background
15,0,14,15439,12.351,15,97.16,1.214,background
16,0,15,11264,9.011,16,142.05,1.776,background
17,0,16,521,0.417,1,191.94,2.399,background
18,0,17,30189,24.151,45,149.06,1.863,background
19,0,18,84184,67.347,106,125.91,1.574,background
20,1,0,27033,21.626,18,66.59,0.832,background
21,1,1,6954,5.563,5,71.90,0.899,background
22,1,2,18384,14.707,12,65.27,0.816,background
23,1,3,19443,15.554,4,20.57,0.257,background
24,1,4,35739,28.591,16,44.77,0.560,background
25,1,5,10313,8.250,9,87.27,1.091,background
26,1,6,31900,25.520,22,68.97,0.862,background
27,1,7,14165,11.332,12,84.72,1.059,background
28,1,8,9022,7.218,7,77.59,0.970,background
29,1,9,95545,76.436,45,47.10,0.589,background
30,1,10,47097,37.678,16,33.97,0.425,background
31,1,11,16061,12.849,9,56.04,0.700,background
32,1,12,122387,97.910,96,78.44,0.980,background
33,1,13,36437,29.150,38,104.29,1.304,background
34,1,14,1598,1.278,1,62.58,0.782,background
35,1,15,17534,14.027,29,165.39,2.067,background
36,1,16,153270,122.616,211,137.67,1.721,background
37,1,17,59262,47.410,76,128.24,1.603,background
38,1,18,32464,25.971,32,98.57,1.232,background
39,2,0,35446,28.357,19,53.60,0.670,background
40,2,1,24697,19.758,17,68.83,0.860,background
41,2,2,40000,32.000,104,260.00,3.250,background
42,2,3,40000,32.000,109,272.50,3.406,background
43,2,4,40000,32.000,102,255.00,3.188,background
44,2,5,40000,32.000,116,290.00,3.625,background
45,2,6,40000,32.000,97,242.50,3.031,background
46,2,7,38928,31.142,26,66.79,0.835,background
47,2,8,29627,23.702,9,30.38,0.380,background
48,2,9,10054,8.043,7,69.62,0.870,background
49,2,10,47801,38.241,22,46.02,0.575,background
50,2,11,14491,11.593,14,96.61,1.208,background
51,2,12,2583,2.066,2,77.43,0.968,background
52,2,13,66050,52.840,75,113.55,1.419,background
53,2,14,27426,21.941,37,134.91,1.686,background
54,2,15,15405,12.324,20,129.83,1.623,background
55,2,16,8763,7.010,11,125.53,1.569,background
56,2,17,20467,16.374,16,78.17,0.977,background
57,2,18,17055,13.644,15,87.95,1.099,background
58,3,0,6733,5.386,7,103.97,1.300,background
59,3,1,62803,50.242,36,57.32,0.717,background
60,3,2,40000,32.000,100,250.00,3.125,background
61,3,3,40000,32.000,105,262.50,3.281,HH
62,3,4,40000,32.000,113,282.50,3.531,HH
63,3,5,40000,32.000,87,217.50,2.719,HH
64,3,6,40000,32.000,90,225.00,2.812,background
65,3,7,13645,10.916,5,36.64,0.458,background
66,3,8,12682,10.146,9,70.97,0.887,background
67,3,9,31086,24.869,19,61.12,0.764,background
68,3,10,2446,1.957,2,81.77,1.022,background
69,3,11,18176,14.541,16,88.03,1.100,background
70,3,12,26063,20.850,22,84.41,1.055,background
71,3,13,23604,18.883,23,97.44,1.218,background
72,3,14,12814,10.251,15,117.06,1.463,background
73,3,15,13242,10.594,16,120.83,1.510,background
74,3,16,33138,26.510,28,84.50,1.056,background
75,3,17,12768,10.214,14,109.65,1.371,background
76,3,18,8786,7.029,6,68.29,0.854,background
77,4,0,21453,17.162,10,46.61,0.583,background
78,4,1,22893,18.314,8,34.95,0.437,background
79,4,2,40000,32.000,98,245.00,3.062,background
80,4,3,40000,32.000,95,237.50,2.969,HH
81,4,4,40000,32.000,99,247.50,3.094,HH
82,4,5,40000,32.000,89,222.50,2.781,HH
83,4,6,40000,32.000,107,267.50,3.344,background
84,4,7,4360,3.488,3,68.81,0.860,background
85,4,8,1100,0.880,0,0.00,0.000,background
86,4,9,13153,10.522,5,38.01,0.475,background
87,4,10,59986,47.989,39,65.02,0.813,background
88,4,11,92687,74.150,72,77.68,0.971,background
89,4,12,7840,6.272,7,89.29,1.116,background
90,4,13,20924,16.739,29,138.60,1.732,background
91,4,14,30698,24.558,61,198.71,2.484,background
92,4,15,23492,18.794,28,119.19,1.490,background
93,4,16,55480,44.384,68,122.57,1.532,background
94,4,17,7442,5.954,5,67.19,0.840,background
95,4,18,38311,30.649,36,93.97,1.175,background
96,5,0,22024,17.619,7,31.78,0.397,background
97,5,1,70955,56.764,52,73.29,0.916,background
98,5,2,40000,32.000,107,267.50,3.344,background
99,5,3,40000,32.000,83,207.50,2.594,HH
100,5,4,40000,32.000,84,210.00,2.625,HH
101,5,5,40000,32.000,101,252.50,3.156,HH
102,5,6,40000,32.000,110,275.00,3.438,background
103,5,7,28854,23.083,20,69.31,0.866,background
104,5,8,15660,12.528,8,51.09,0.639,background
105,5,9,17944,14.355,10,55.73,0.697,background
106,5,10,11998,9.598,13,108.35,1.354,background
107,5,11,40685,32.548,33,81.11,1.014,background
108,5,12,19281,15.425,17,88.17,1.102,background
109,5,13,7951,6.361,8,100.62,1.258,background
110,5,14,10003,8.002,14,139.96,1.749,background
111,5,15,34586,27.669,56,161.92,2.024,background
112,5,16,6534,5.227,6,91.83,1.148,background
113,5,17,47812,38.250,52,108.76,1.359,background
114,5,18,6017,4.814,7,116.34,1.454,background
115,6,0,21392,17.114,17,79.47,0.993,background
116,6,1,18749,14.999,13,69.34,0.867,background
117,6,2,40000,32.000,110,275.00,3.438,background
118,6,3,40000,32.000,95,237.50,2.969,background
119,6,4,40000,32.000,95,237.50,2.969,background
120,6,5,40000,32.000,74,185.00,2.312,background
121,6,6,40000,32.000,77,192.50,2.406,background
122,6,7,36286,29.029,40,110.24,1.378,background
123,6,8,34607,27.686,21,60.68,0.759,background
124,6,9,145995,116.796,81,55.48,0.694,background
125,6,10,31811,25.449,20,62.87,0.786,background
126,6,11,22694,18.155,24,105.75,1.322,background
127,6,12,7342,5.874,9,122.58,1.532,background
128,6,13,26363,21.090,27,102.42,1.280,background
129,6,14,46193,36.954,74,160.20,2.002,background
130,6,15,23356,18.685,30,128.45,1.606,background
131,6,16,11379,9.103,11,96.67,1.208,background
132,6,17,73539,58.831,114,155.02,1.938,background
133,6,18,9859,7.887,16,162.29,2.029,background
134,7,0,15387,12.310,12,77.99,0.975,background
135,7,1,21847,17.478,20,91.55,1.144,background
136,7,2,1873,1.498,2,106.78,1.335,background
137,7,3,39192,31.354,55,140.33,1.754,background
138,7,4,24215,19.372,24,99.11,1.239,background
139,7,5,23597,18.878,33,139.85,1.748,background
140,7,6,9793,7.834,13,132.75,1.659,background
141,7,7,38032,30.426,26,68.36,0.855,background
142,7,8,27896,22.317,20,71.69,0.896,background
143,7,9,15555,12.444,12,77.15,0.964,background
144,7,10,48446,38.757,38,78.44,0.980,background
145,7,11,8334,6.667,3,36.00,0.450,background
146,7,12,37575,30.060,23,61.21,0.765,background
147,7,13,14725,11.780,13,88.29,1.104,background
148,7,14,21294,17.035,25,117.40,1.468,background
149,7,15,46413,37.130,58,124.96,1.562,background
150,7,16,14050,11.240,18,128.11,1.601,background
151,7,17,13880,11.104,24,172.91,2.161,background
152,7,18,16165,12.932,21,129.91,1.624,background
153,8,0,900,0.720,1,111.11,1.389,background
154,8,1,48426,38.741,57,117.71,1.471,background
155,8,2,22456,17.965,34,151.41,1.893,background
156,8,3,151072,120.858,237,156.88,1.961,background
157,8,4,30391,24.313,55,180.97,2.262,background
158,8,5,32799,26.239,48,146.35,1.829,background
159,8,6,14469,11.575,19,131.32,1.641,background
160,8,7,6485,5.188,9,138.78,1.735,background
161,8,8,26010,20.808,33,126.87,1.586,background
162,8,9,4175,3.340,1,23.95,0.299,background
163,8,10,28522,22.818,33,115.70,1.446,background
164,8,11,15814,12.651,15,94.85,1.186,background
165,8,12,7810,6.248,6,76.82,0.960,background
166,8,13,45480,36.384,37,81.35,1.017,background
167,8,14,10764,8.611,15,139.35,1.742,background
168,8,15,5648,4.518,6,106.23,1.328,background
169,8,16,100175,80.140,107,106.81,1.335,background
170,8,17,1366,1.093,2,146.41,1.830,background
171,8,18,46634,37.307,50,107.22,1.340,background
172,9,0,8857,7.086,3,33.87,0.423,background
173,9,1,15445,12.356,14,90.64,1.133,background
174,9,2,46134,36.907,52,112.72,1.409,background
175,9,3,40652,32.522,66,162.35,2.029,background
176,9,4,15212,12.170,35,230.08,2.876,background
177,9,5,35904,28.723,68,189.39,2.367,background
178,9,6,7844,6.275,8,101.99,1.275,background
179,9,7,144305,115.444,196,135.82,1.698,background
180,9,8,17126,13.701,23,134.30,1.679,background
181,9,9,17516,14.013,27,154.14,1.927,background
182,9,10,105172,84.138,137,130.26,1.628,background
183,9,11,33661,26.929,28,83.18,1.040,background
184,9,12,4942,3.954,3,60.70,0.759,background
185,9,13,67179,53.743,76,113.13,1.414,background
186,9,14,29392,23.514,30,102.07,1.276,background
187,9,15,2127,1.702,0,0.00,0.000,background
188,9,16,11932,9.546,12,100.57,1.257,background
189,9,17,13335,10.668,9,67.49,0.844,background
190,9,18,61206,48.965,56,91.49,1.144,background
191,10,0,40500,32.400,22,54.32,0.679,background
192,10,1,26236,20.989,18,68.61,0.858,background
193,10,2,11295,9.036,10,88.53,1.107,background
194,10,3,12895,10.316,17,131.83,1.648,background
195,10,4,62477,49.982,111,177.67,2.221,background
196,10,5,102152,81.722,185,181.10,2.264,background
197,10,6,63940,51.152,93,145.45,1.818,background
198,10,7,28577,22.862,40,139.97,1.750,background
199,10,8,21365,17.092,20,93.61,1.170,background
200,10,9,10420,8.336,13,124.76,1.560,background
201,10,10,30986,24.789,32,103.27,1.291,background
202,10,11,34382,27.506,28,81.44,1.018,background
203,10,12,41184,32.947,45,109.27,1.366,background
204,10,13,1920,1.536,1,52.08,0.651,background
205,10,14,23659,18.927,20,84.53,1.057,background
206,10,15,47200,37.760,40,84.75,1.059,background
207,10,16,14912,11.930,13,87.18,1.090,background
208,10,17,72794,58.235,45,61.82,0.773,background
209,10,18,17751,14.201,12,67.60,0.845,background
210,11,0,6058,4.846,1,16.51,0.206,background
211,11,1,150693,120.554,86,57.07,0.713,background
212,11,2,27175,21.740,34,125.11,1.564,background
213,11,3,31404,25.123,54,171.95,2.149,background
214,11,4,14258,11.406,23,161.31,2.016,background
215,11,5,37147,29.718,57,153.44,1.918,background
216,11,6,15625,12.500,21,134.40,1.680,background
217,11,7,46360,37.088,50,107.85,1.348,background
218,11,8,35096,28.077,39,111.12,1.389,background
219,11,9,17178,13.742,8,46.57,0.582,background
220,11,10,23793,19.034,20,84.06,1.051,background
221,11,11,1118,0.894,0,0.00,0.000,background
222,11,12,40000,32.000,4,10.00,0.125,background
223,11,13,40000,32.000,9,22.50,0.281,background
224,11,14,40000,32.000,4,10.00,0.125,background
225,11,15,40000,32.000,8,20.00,0.250,background
226,11,16,40000,32.000,2,5.00,0.062,background
227,11,17,57276,45.821,27,47.14,0.589,background
228,11,18,19392,15.514,4,20.63,0.258,background
229,12,0,9972,7.978,9,90.25,1.128,background
230,12,1,84892,67.914,42,49.47,0.618,background
231,12,2,13096,10.477,12,91.63,1.145,background
232,12,3,47412,37.930,75,158.19,1.977,background
233,12,4,35516,28.413,67,188.65,2.358,background
234,12,5,2455,1.964,1,40.73,0.509,background
235,12,6,31381,25.105,23,73.29,0.916,background
236,12,7,22550,18.040,13,57.65,0.721,background
237,12,8,19105,15.284,13,68.05,0.851,background
238,12,9,1027,0.822,1,97.37,1.217,background
239,12,10,15016,12.013,8,53.28,0.666,background
240,12,11,67163,53.730,51,75.93,0.949,background
241,12,12,40000,32.000,20,50.00,0.625,background
242,12,13,40000,32.000,7,17.50,0.219,LL
243,12,14,40000,32.000,10,25.00,0.312,LL
244,12,15,40000,32.000,8,20.00,0.250,LL
245,12,16,40000,32.000,12,30.00,0.375,background
246,12,17,18605,14.884,3,16.12,0.202,background
247,12,18,11799,9.439,4,33.90,0.424,background
248,13,0,35943,28.754,21,58.43,0.730,background
249,13,1,40000,32.000,5,12.50,0.156,background
250,13,2,40000,32.000,7,17.50,0.219,background
251,13,3,40000,32.000,11,27.50,0.344,background
252,13,4,25749,20.599,35,135.93,1.699,background
253,13,5,4268,3.414,9,210.87,2.636,background
254,13,6,59064,47.251,49,82.96,1.037,background
255,13,7,1683,1.346,2,118.84,1.485,background
256,13,8,35267,28.214,24,68.05,0.851,background
257,13,9,47923,38.338,38,79.29,0.991,background
258,13,10,23616,18.893,25,105.86,1.323,background
259,13,11,27294,21.835,25,91.60,1.145,background
260,13,12,40000,32.000,13,32.50,0.406,background
261,13,13,40000,32.000,8,20.00,0.250,LL
262,13,14,40000,32.000,7,17.50,0.219,LL
263,13,15,40000,32.000,11,27.50,0.344,LL
264,13,16,40000,32.000,11,27.50,0.344,background
265,13,17,5914,4.731,2,33.82,0.423,background
266,13,18,44008,35.206,9,20.45,0.256,background
267,14,0,20637,16.510,15,72.68,0.909,background
268,14,1,40000,32.000,5,12.50,0.156,background
269,14,2,40000,32.000,306,765.00,9.562,HL
270,14,3,40000,32.000,7,17.50,0.219,background
271,14,4,55463,44.370,64,115.39,1.442,background
272,14,5,1931,1.545,3,155.36,1.942,background
273,14,6,14499,11.599,11,75.87,0.948,background
274,14,7,26217,20.974,29,110.62,1.383,background
275,14,8,5298,4.238,7,132.13,1.652,background
276,14,9,34492,27.594,34,98.57,1.232,background
277,14,10,110100,88.080,106,96.28,1.203,background
278,14,11,15843,12.674,5,31.56,0.394,background
279,14,12,40000,32.000,11,27.50,0.344,background
280,14,13,40000,32.000,10,25.00,0.312,LL
281,14,14,40000,32.000,9,22.50,0.281,LL
282,14,15,40000,32.000,11,27.50,0.344,LL
283,14,16,40000,32.000,7,17.50,0.219,background
284,14,17,93600,74.880,21,22.44,0.280,background
285,14,18,107765,86.212,29,26.91,0.336,background
286,15,0,39789,31.831,37,92.99,1.162,background
287,15,1,40000,32.000,4,10.00,0.125,background
288,15,2,40000,32.000,5,12.50,0.156,background
289,15,3,40000,32.000,6,15.00,0.188,background
290,15,4,41560,33.248,30,72.18,0.902,background
291,15,5,21406,17.125,24,112.12,1.401,background
292,15,6,69061,55.249,57,82.54,1.032,background
293,15,7,38323,30.658,38,99.16,1.239,background
294,15,8,13984,11.187,11,78.66,0.983,background
295,15,9,81962,65.570,66,80.53,1.007,background
296,15,10,29024,23.219,28,96.47,1.206,background
297,15,11,112346,89.877,82,72.99,0.912,background
298,15,12,40000,32.000,12,30.00,0.375,background
299,15,13,40000,32.000,9,22.50,0.281,background
300,15,14,40000,32.000,11,27.50,0.344,background
301,15,15,40000,32.000,10,25.00,0.312,background
302,15,16,40000,32.000,10,25.00,0.312,background
303,15,17,36705,29.364,12,32.69,0.409,background
304,15,18,53670,42.936,28,52.17,0.652,background
305,16,0,15387,12.310,24,155.98,1.950,background
306,16,1,2941,2.353,0,0.00,0.000,background
307,16,2,7975,6.380,4,50.16,0.627,background
308,16,3,16182,12.946,6,37.08,0.463,background
309,16,4,17143,13.714,5,29.17,0.365,background
310,16,5,23376,18.701,10,42.78,0.535,background
311,16,6,16137,12.910,11,68.17,0.852,background
312,16,7,25681,20.545,18,70.09,0.876,background
313,16,8,29466,23.573,27,91.63,1.145,background
314,16,9,36612,29.290,26,71.01,0.888,background
315,16,10,23390,18.712,17,72.68,0.909,background
316,16,11,19600,15.680,29,147.96,1.849,background
317,16,12,51346,41.077,33,64.27,0.803,background
318,16,13,8381,6.705,3,35.80,0.447,background
319,16,14,75188,60.150,46,61.18,0.765,background
320,16,15,44745,35.796,34,75.99,0.950,background
321,16,16,8662,6.930,6,69.27,0.866,background
322,16,17,47241,37.793,38,80.44,1.005,background
323,16,18,1153,0.922,0,0.00,0.000,background
324,17,0,75283,60.226,62,82.36,1.029,background
325,17,1,13542,10.834,13,96.00,1.200,background
326,17,2,10242,8.194,0,0.00,0.000,background
327,17,3,26982,21.586,7,25.94,0.324,background
328,17,4,57287,45.830,25,43.64,0.545,background
329,17,5,60433,48.346,37,61.22,0.765,background
330,17,6,6879,5.503,3,43.61,0.545,background
331,17,7,17279,13.823,15,86.81,1.085,background
332,17,8,144134,115.307,89,61.75,0.772,background
333,17,9,23250,18.600,14,60.22,0.753,background
334,17,10,20717,16.574,11,53.10,0.664,background
335,17,11,8941,7.153,8,89.48,1.118,background
336,17,12,9388,7.510,6,63.91,0.799,background
337,17,13,35276,28.221,25,70.87,0.886,background
338,17,14,17548,14.038,15,85.48,1.068,background
339,17,15,6212,4.970,5,80.49,1.006,background
340,17,16,1748,1.398,1,57.21,0.715,background
341,17,17,224274,179.419,167,74.46,0.931,background
342,17,18,26055,20.844,17,65.25,0.816,background
