area_id,neighbor_id
1,2
1,20
1,21
2,1
2,3
2,20
2,21
2,22
3,2
3,4
3,21
3,22
3,23
4,3
4,5
4,22
4,23
4,24
5,4
5,6
5,23
5,24
5,25
6,5
6,7
6,24
6,25
6,26
7,6
7,8
7,25
7,26
7,27
8,7
8,9
8,26
8,27
8,28
9,8
9,10
9,27
9,28
9,29
10,9
10,11
10,28
10,29
10,30
11,10
11,12
11,29
11,30
11,31
12,11
12,13
12,30
12,31
12,32
13,12
13,14
13,31
13,32
13,33
14,13
14,15
14,32
14,33
14,34
15,14
15,16
15,33
15,34
15,35
16,15
16,17
16,34
16,35
16,36
17,16
17,18
17,35
17,36
17,37
18,17
18,19
18,36
18,37
18,38
19,18
19,37
19,38
20,1
20,2
20,21
20,39
20,40
21,1
21,2
21,3
21,20
21,22
21,39
21,40
21,41
22,2
22,3
22,4
22,21
22,23
22,40
22,41
22,42
23,3
23,4
23,5
23,22
23,24
23,41
23,42
23,43
24,4
24,5
24,6
24,23
24,25
24,42
24,43
24,44
25,5
25,6
25,7
25,24
25,26
25,43
25,44
25,45
26,6
26,7
26,8
26,25
26,27
26,44
26,45
26,46
27,7
27,8
27,9
27,26
27,28
27,45
27,46
27,47
28,8
28,9
28,10
28,27
28,29
28,46
28,47
28,48
29,9
29,10
29,11
29,28
29,30
29,47
29,48
29,49
30,10
30,11
30,12
30,29
30,31
30,48
30,49
30,50
31,11
31,12
31,13
31,30
31,32
31,49
31,50
31,51
32,12
32,13
32,14
32,31
32,33
32,50
32,51
32,52
33,13
33,14
33,15
33,32
33,34
33,51
33,52
33,53
34,14
34,15
34,16
34,33
34,35
34,52
34,53
34,54
35,15
35,16
35,17
35,34
35,36
35,53
35,54
35,55
36,16
36,17
36,18
36,35
36,37
36,54
36,55
36,56
37,17
37,18
37,19
37,36
37,38
37,55
37,56
37,57
38,18
38,19
38,37
38,56
38,57
39,20
39,21
39,40
39,58
39,59
40,20
40,21
40,22
40,39
40,41
40,58
40,59
40,60
41,21
41,22
41,23
41,40
41,42
41,59
41,60
41,61
42,22
42,23
42,24
42,41
42,43
42,60
42,61
42,62
43,23
43,24
43,25
43,42
43,44
43,61
43,62
43,63
44,24
44,25
44,26
44,43
44,45
44,62
44,63
44,64
45,25
45,26
45,27
45,44
45,46
45,63
45,64
45,65
46,26
46,27
46,28
46,45
46,47
46,64
46,65
46,66
47,27
47,28
47,29
47,46
47,48
47,65
47,66
47,67
48,28
48,29
48,30
48,47
48,49
48,66
48,67
48,68
49,29
49,30
49,31
49,48
49,50
49,67
49,68
49,69
50,30
50,31
50,32
50,49
50,51
